Date,League,Home Team,Away Team,Channel,Network,iptv,Status
"Jan 20, 2025",NBA,Charlotte Hornets,Dallas Mavericks,FDSN SE-CHA,Home,wstr,No Game
"Jan 20, 2025",NHL,Boston Bruins,San Jose Sharks,NESN,Home,wstr,Complete
"Jan 20, 2025",NHL,Boston Bruins,San Jose Sharks,NBCSCA,Away,wstr,Complete
"Jan 20, 2025",NBA,Houston Rockets,Detroit Pistons,Space City Home Network,Home,wstr,Complete
"Jan 20, 2025",NBA,New York Knicks,Atlanta Hawks,FDSN SE-MEM,,wstr,Wrong Game
"Jan 20, 2025",NBA,New York Knicks,Atlanta Hawks,MSG,Home,wstr,Complete
"Jan 20, 2025",NHL,Colorado Avalanche,Minnesota Wild,ALT,Home,wstr,Complete
"Jan 20, 2025",NHL,Colorado Avalanche,Minnesota Wild,FDSN North,Away,wstr,Incomplete
"Jan 20, 2025",NHL,Colorado Avalanche,Minnesota Wild,FDSN WI,Away,wstr,No Game
"Jan 20, 2025",NBA,Milwaukee Bucks,Philadelphia 76ers,FDSN WI,Home,wstr,No Game
"Jan 20, 2025",NBA,Oklahoma City Thunder,Brooklyn Nets,FDSN OK,Home,wstr,Complete
"Jan 20, 2025",NHL,Montréal Canadiens,New York Rangers,TSN2,Home,wstr,Complete
"Jan 20, 2025",NHL,Montréal Canadiens,New York Rangers,MSG,Away,wstr,Complete
"Jan 20, 2025",NHL,Dallas Stars,Detroit Red Wings,FDSN DET,Away,wstr,Complete
"Jan 20, 2025",NBA,Portland Trail Blazers,Chicago Bulls,KATU 2.2,Home,wstr,No Game
"Jan 20, 2025",NBA,Sacramento Kings,Washington Wizards,NBCSCA,Home,wstr,No Game
"Jan 20, 2025",NBA,Sacramento Kings,Washington Wizards,Monumental Sports Network,Away,wstr,Complete
"Jan 21, 2025",NCAAB,Virginia,Boston College,ACC Network,National,wstr,No Game
"Jan 21, 2025",NHL,Montréal Canadiens,Tampa Bay Lightning,TSN2,Home,wstr,Complete
"Jan 21, 2025",NHL,Montréal Canadiens,Tampa Bay Lightning,FDSN Sun,Away,wstr,Wrong Game
"Jan 21, 2025",NHL,New York Rangers,Ottawa Senators,MSG,Home,wstr,Complete
"Jan 21, 2025",NHL,New York Rangers,Ottawa Senators,TSN5,Away,wstr,Complete
